commit,arch,board_repr,lanes,depth,precision,state_id,category,root_candidates,leaf_candidates,rotation,x,y,score,no_move,core_cycles,request_interval_cycles,driver
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,223,all_terminal_fallback,34,17,3,1,17,-12765,0,761,763,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,0,differing_previews,9,17,0,0,0,-444,0,7162,7164,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,170,high_stack,17,34,1,7,15,-13434,0,1444,1446,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,190,late_root_winner,34,34,3,8,15,-12348,0,14508,14510,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,212,no_current_move,9,34,0,0,0,0,1,97,99,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,150,root_ties,17,17,1,3,0,-698,0,13522,13524,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,70,trajectory,34,9,2,5,1,-1521,0,15069,15071,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,233,all_terminal_fallback,17,17,1,7,17,-13827,0,798,800,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,1,differing_previews,9,9,0,0,0,-444,0,3994,3996,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,171,high_stack,34,34,1,0,17,-9867,0,13553,13555,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,197,late_root_winner,9,17,0,8,17,-10890,0,1503,1505,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,229,no_current_move,34,34,0,0,0,0,1,347,349,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,151,root_ties,9,17,0,5,2,-1947,0,7162,7164,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,71,trajectory,34,34,1,3,2,-920,0,52469,52471,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,235,all_terminal_fallback,17,9,1,6,16,-13470,0,431,433,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,2,differing_previews,9,34,0,0,0,-480,0,13894,13896,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,172,high_stack,17,34,0,6,18,-14484,0,588,590,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,213,late_root_winner,17,17,1,8,13,-9428,0,4624,4626,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,234,no_current_move,17,34,0,0,0,0,1,177,179,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,152,root_ties,34,9,0,2,1,-1008,0,15069,15071,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,72,trajectory,17,17,0,7,3,-2100,0,13522,13524,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,237,all_terminal_fallback,34,34,1,7,17,-13794,0,724,726,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,3,differing_previews,9,17,0,8,0,-531,0,7162,7164,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,173,high_stack,34,34,3,1,13,-9306,0,32354,32356,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,214,late_root_winner,34,9,3,8,17,-12441,0,4555,4557,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,236,no_current_move,9,34,0,0,0,0,1,97,99,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,153,root_ties,34,17,1,0,3,-884,0,27037,27039,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,73,trajectory,17,17,0,6,3,-1820,0,13522,13524,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,238,all_terminal_fallback,17,9,1,8,16,-10296,0,304,306,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,4,differing_previews,9,17,0,0,0,-531,0,7162,7164,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,174,high_stack,34,34,1,1,15,-12255,0,22417,22419,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,215,late_root_winner,17,17,1,9,12,-12954,0,1932,1934,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,1,2,0,249,no_current_move,17,34,0,0,0,0,1,177,179,native
