commit,arch,board_repr,lanes,depth,precision,state_id,category,root_candidates,leaf_candidates,rotation,x,y,score,no_move,core_cycles,request_interval_cycles,driver
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,802,blocked_spawn,17,0,1,6,0,-7461,0,603,605,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,801,equal_scores,34,0,1,4,2,-2427,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,0,heuristic_trajectory,17,0,0,5,2,-1815,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,600,high_stack_holes,34,0,2,4,16,-9522,0,858,860,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,800,last_candidate_winner,17,0,1,9,1,-4671,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,839,no_move,34,0,0,0,0,0,1,382,384,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,300,random_trajectory,34,0,2,7,5,-5253,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,845,walls,34,0,0,1,0,-888,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,817,wells,9,0,0,0,6,-3210,0,413,415,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,806,blocked_spawn,34,0,1,8,0,-8319,0,824,826,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,805,equal_scores,17,0,0,1,0,-894,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,1,heuristic_trajectory,17,0,1,0,3,-2150,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,601,high_stack_holes,34,0,3,0,16,-9309,0,790,792,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,803,last_candidate_winner,9,0,0,8,8,-5073,0,413,415,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,882,no_move,17,0,0,0,0,0,1,195,197,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,301,random_trajectory,34,0,1,7,4,-4536,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,851,walls,34,0,0,6,0,-888,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,827,wells,17,0,1,3,5,-3123,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,808,blocked_spawn,17,0,1,1,0,-8280,0,501,503,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,809,equal_scores,9,0,0,2,2,-1419,0,413,415,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,2,heuristic_trajectory,17,0,0,5,2,-1514,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,602,high_stack_holes,34,0,3,3,12,-7185,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,804,last_candidate_winner,17,0,1,8,2,-2907,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,888,no_move,34,0,0,0,0,0,1,382,384,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,302,random_trajectory,34,0,1,7,4,-4536,0,1538,1540,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,898,walls,9,0,0,6,0,-852,0,413,415,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,832,wells,17,0,1,2,5,-2879,0,773,775,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,811,blocked_spawn,17,0,1,8,0,-4800,0,671,673,native
4847cf9e0fa16c93cfc9f9fbddad016bcf1ffb01-dirty,1,1,1,1,3,821,equal_scores,34,0,2,1,3,-2769,0,1538,1540,native
