commit,arch,board_repr,lanes,depth,precision,state_id,category,root_candidates,leaf_candidates,rotation,x,y,score,no_move,core_cycles,request_interval_cycles,driver
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,802,blocked_spawn,17,0,1,6,0,-9045,0,346,348,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,801,equal_scores,34,0,1,4,2,-2427,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,0,heuristic_trajectory,17,0,0,5,2,-1815,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,600,high_stack_holes,34,0,1,4,16,-9873,0,468,470,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,800,last_candidate_winner,17,0,1,9,1,-4671,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,839,no_move,34,0,0,0,0,0,1,196,198,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,300,random_trajectory,34,0,2,7,5,-6045,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,845,walls,34,0,0,1,0,-888,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,817,wells,9,0,0,0,6,-3210,0,234,236,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,806,blocked_spawn,34,0,1,8,0,-10191,0,434,436,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,805,equal_scores,17,0,0,1,0,-894,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,1,heuristic_trajectory,17,0,1,0,3,-2150,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,601,high_stack_holes,34,0,3,0,16,-11721,0,400,402,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,803,last_candidate_winner,9,0,0,8,8,-5073,0,234,236,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,882,no_move,17,0,0,0,0,0,1,108,110,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,301,random_trajectory,34,0,1,7,4,-5004,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,851,walls,34,0,0,6,0,-888,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,827,wells,17,0,1,3,5,-3123,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,808,blocked_spawn,17,0,1,1,0,-10080,0,301,303,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,809,equal_scores,9,0,0,2,2,-1419,0,234,236,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,2,heuristic_trajectory,17,0,0,5,2,-1514,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,602,high_stack_holes,34,0,3,3,12,-9633,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,804,last_candidate_winner,17,0,1,8,2,-2907,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,888,no_move,34,0,0,0,0,0,1,196,198,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,302,random_trajectory,34,0,1,7,4,-5004,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,898,walls,9,0,0,6,0,-852,0,234,236,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,832,wells,17,0,1,2,5,-2879,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,811,blocked_spawn,17,0,1,8,0,-5736,0,346,348,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,821,equal_scores,34,0,2,1,3,-2769,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,3,heuristic_trajectory,34,0,1,6,0,-887,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,603,high_stack_holes,34,0,1,6,14,-9429,0,672,674,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,807,last_candidate_winner,17,0,1,8,2,-1841,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,942,no_move,17,0,0,0,0,0,1,108,110,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,303,random_trajectory,17,0,1,0,8,-11769,0,176,178,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,911,walls,17,0,0,0,0,-975,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,846,wells,9,0,0,0,6,-3174,0,234,236,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,813,blocked_spawn,17,0,0,0,0,-8775,0,210,212,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,822,equal_scores,34,0,0,1,3,-1935,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,4,heuristic_trajectory,34,0,3,3,4,-3093,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,604,high_stack_holes,34,0,3,3,16,-13146,0,332,334,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,810,last_candidate_winner,17,0,1,8,1,-1710,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,969,no_move,9,0,0,0,0,0,1,64,66,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,304,random_trajectory,17,0,1,7,4,-4692,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,914,walls,17,0,0,1,0,-939,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,848,wells,17,0,1,3,5,-3123,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,814,blocked_spawn,17,0,1,4,0,-8349,0,176,178,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,830,equal_scores,17,0,1,5,2,-1914,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,5,heuristic_trajectory,9,0,0,6,2,-1896,0,234,236,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,605,high_stack_holes,34,0,3,6,3,-2393,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,812,last_candidate_winner,17,0,1,9,2,-1932,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,976,no_move,17,0,0,0,0,0,1,108,110,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,305,random_trajectory,17,0,1,4,15,-7695,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,922,walls,34,0,0,0,0,-888,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,858,wells,34,0,3,6,4,-2813,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,815,blocked_spawn,34,0,1,3,0,-11079,0,298,300,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,831,equal_scores,17,0,0,4,1,-1062,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,6,heuristic_trajectory,17,0,1,0,4,-2489,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,606,high_stack_holes,17,0,1,2,15,-10236,0,312,314,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,816,last_candidate_winner,34,0,3,8,2,-1496,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,986,no_move,9,0,0,0,0,0,1,64,66,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,306,random_trajectory,9,0,0,0,0,-1326,0,234,236,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,941,walls,17,0,0,6,0,-975,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,867,wells,34,0,2,6,5,-2843,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,818,blocked_spawn,9,0,0,5,0,-9615,0,132,134,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,836,equal_scores,34,0,1,7,2,-2004,0,774,776,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,7,heuristic_trajectory,9,0,0,8,3,-1644,0,234,236,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,607,high_stack_holes,34,0,1,7,16,-12111,0,706,708,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,819,last_candidate_winner,17,0,1,9,0,-1408,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,307,random_trajectory,17,0,1,0,17,-12723,0,142,144,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,961,walls,17,0,0,6,0,-939,0,414,416,native
ebde781a11596519c7a452de26bae83348e3cb54-dirty,1,1,2,1,0,868,wells,9,0,0,0,6,-3231,0,234,236,native
