commit,arch,board_repr,lanes,depth,precision,state_id,category,root_candidates,leaf_candidates,rotation,x,y,score,no_move,core_cycles,request_interval_cycles,driver
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,802,blocked_spawn,17,0,1,6,0,-9045,0,603,605,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,801,equal_scores,34,0,1,4,2,-2427,0,1538,1540,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,0,heuristic_trajectory,17,0,0,5,2,-1815,0,773,775,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,600,high_stack_holes,34,0,1,4,16,-9873,0,858,860,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,800,last_candidate_winner,17,0,1,9,1,-4671,0,773,775,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,839,no_move,34,0,0,0,0,0,1,382,384,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,300,random_trajectory,34,0,2,7,5,-6045,0,1538,1540,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,845,walls,34,0,0,1,0,-888,0,1538,1540,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,817,wells,9,0,0,0,6,-3210,0,413,415,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,806,blocked_spawn,34,0,1,8,0,-10191,0,824,826,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,805,equal_scores,17,0,0,1,0,-894,0,773,775,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,1,heuristic_trajectory,17,0,1,0,3,-2150,0,773,775,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,601,high_stack_holes,34,0,3,0,16,-11721,0,790,792,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,803,last_candidate_winner,9,0,0,8,8,-5073,0,413,415,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,882,no_move,17,0,0,0,0,0,1,195,197,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,301,random_trajectory,34,0,1,7,4,-5004,0,1538,1540,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,851,walls,34,0,0,6,0,-888,0,1538,1540,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,827,wells,17,0,1,3,5,-3123,0,773,775,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,808,blocked_spawn,17,0,1,1,0,-10080,0,501,503,native
5158011e35515c281ad113dc25a96f0683bbd65a-dirty,1,1,1,1,0,809,equal_scores,9,0,0,2,2,-1419,0,413,415,native
