commit,arch,board_repr,lanes,depth,precision,state_id,category,root_candidates,leaf_candidates,rotation,x,y,score,no_move,core_cycles,request_interval_cycles,driver
a74c8540fdcc2b83efca311065f3d0b66dbbbc06-dirty,1,1,1,1,0,802,blocked_spawn,17,0,1,6,0,-9045,0,586,588,native
a74c8540fdcc2b83efca311065f3d0b66dbbbc06-dirty,1,1,1,1,0,801,equal_scores,34,0,1,4,2,-2427,0,1504,1506,native
a74c8540fdcc2b83efca311065f3d0b66dbbbc06-dirty,1,1,1,1,0,0,heuristic_trajectory,17,0,0,5,2,-1815,0,756,758,native
a74c8540fdcc2b83efca311065f3d0b66dbbbc06-dirty,1,1,1,1,0,600,high_stack_holes,34,0,1,4,16,-9873,0,824,826,native
a74c8540fdcc2b83efca311065f3d0b66dbbbc06-dirty,1,1,1,1,0,800,last_candidate_winner,17,0,1,9,1,-4671,0,756,758,native
a74c8540fdcc2b83efca311065f3d0b66dbbbc06-dirty,1,1,1,1,0,839,no_move,34,0,0,0,0,0,1,348,350,native
a74c8540fdcc2b83efca311065f3d0b66dbbbc06-dirty,1,1,1,1,0,300,random_trajectory,34,0,2,7,5,-6045,0,1504,1506,native
a74c8540fdcc2b83efca311065f3d0b66dbbbc06-dirty,1,1,1,1,0,845,walls,34,0,0,1,0,-888,0,1504,1506,native
a74c8540fdcc2b83efca311065f3d0b66dbbbc06-dirty,1,1,1,1,0,817,wells,9,0,0,0,6,-3210,0,404,406,native
a74c8540fdcc2b83efca311065f3d0b66dbbbc06-dirty,1,1,1,1,0,806,blocked_spawn,34,0,1,8,0,-10191,0,790,792,native
a74c8540fdcc2b83efca311065f3d0b66dbbbc06-dirty,1,1,1,1,0,805,equal_scores,17,0,0,1,0,-894,0,756,758,native
a74c8540fdcc2b83efca311065f3d0b66dbbbc06-dirty,1,1,1,1,0,1,heuristic_trajectory,17,0,1,0,3,-2150,0,756,758,native
a74c8540fdcc2b83efca311065f3d0b66dbbbc06-dirty,1,1,1,1,0,601,high_stack_holes,34,0,3,0,16,-11721,0,756,758,native
