suite,policy,depth,precision,stream_seed,stream_sha256,cap,lines,pieces_locked,terminal_reason,wall_seconds,protocol_sha256,model_closure,source,quality_key,git_commit
bag50k,heuristic,1,0,20015,043811e9ee6ab030dad65b4f9f2eb6bfd757e53d95503be1ed58fb9df422ee58,50000,2219,5590,top_out,0.714,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,9525e8d395b6eed7f20f91bc199aea35d855f3699f9134ac62137c8f874e462c,
bag50k,heuristic,1,0,20016,73fe55939753c3f33ef44477774a6e95b85da142fbb9ffdd705568e05cbb75b5,50000,6779,16990,top_out,2.186,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,573446481276e27f7f4075f1cc269ac09ab94d9329d1e6e38f6c16bac858b60d,
bag50k,heuristic,1,0,20017,b1cdb99fe01b93f0785c1fbcfba3396124eba56d278aa88f4f9b5b0de34d24c2,50000,383,1000,top_out,0.131,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,59c07f5b933d6670c0f93a16e7b304d03f8c43ff715c5140da540286ca045fd1,
bag50k,heuristic,1,0,20018,cb8e3313f9a74104aa1cd72f727bcb97921d795fd98411329ee362abec6bb811,50000,1288,3263,top_out,0.422,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,efacf0c5fbb413281ecfa9724902672adc5fc06122f522f540cc861e886d169c,
bag50k,heuristic,1,0,20019,e7589ad871bbc87dab02625bdfa56222eb1828c5f5b763d6917138a4e9c2dc5e,50000,234,628,top_out,0.09,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,ef9336afb3f757cd64ab0dc3a32c707d29b1b2dbbb8bc6ed103409b0c7a627c2,
bag50k,heuristic,1,0,20020,3fb5ebf548d659d90f4e0670159945de6c6ec01723b524e711cccf9d63c6c129,50000,1025,2606,top_out,0.339,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,13d66b1465127db201220cb200718ef44fe9f316421a9744f0f85ca7e2ca96f4,
bag50k,heuristic,1,0,20021,f00ace91f2d21efa5ec38b764fb2ed6335d0e119686c75fdf0245dc90512300c,50000,1078,2739,top_out,0.373,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,8a058969f69c5db8933501efe7315494a46b643da324bae99b8295db72e9ed1c,
bag50k,heuristic,1,0,20022,ca94c245ac8e26068faf7af212482ef077884ceddd2204e0806155d8460f14ad,50000,1374,3478,top_out,0.459,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,dc4193a4c615acd363ae0c337d58b29389b3e47f3c22016e872303ddf847eefd,
bag50k,heuristic,1,0,20023,ad6eca772c8d04be516f8b2675120e09e1539ad9f68354804f05503377063769,50000,11557,28934,top_out,3.671,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,59c9c8a9a6ebb667e4a3ebea734b68fc98b76e5dea72f96ed04bd379488020d9,
bag50k,heuristic,1,0,20024,e592ae359a570a69c1778988e8219891aa1620fbc2171f9afe897a8ea819ebdd,50000,3540,8894,top_out,1.107,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,413c5184c771c4205eb6ffd44f8e92e967b3b8d41215cdf0b1d147948bc79995,
bag50k,heuristic,1,0,20025,0eee359fe5c5cda080329b646e307358a0830209fd4ed56f0780b3be92047dea,50000,2130,5367,top_out,0.671,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,63f82184ee2a011507de2f568b70f639df412d76f9cf0f35c86c3e8b61ba7a22,
bag50k,heuristic,1,0,20026,3b122b2dce179f1ba72e18268dc72031f294759cf799e4c7b42c172b2f0e845d,50000,1576,3983,top_out,0.504,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,3b9ae1cc4fce30c0124e64e5a1fd50b5956751e94d9c1f73ab241ee61480f7e1,
bag50k,heuristic,1,0,20027,ef7b44efbcd26aa1dcf4b44be0ad10a573b6ee49e674673a20ec9aa84e9ffff5,50000,2669,6715,top_out,0.842,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,3460e1eaf31bc6468ac15a6a980066bb2e1d36654aaf1a476846ddb7b94c7fcb,
bag50k,heuristic,1,0,20028,80988b825cb41f54cd2636ccfe1b744c49f40b51f4361cf216f6ca82cf1dead3,50000,5991,15021,top_out,1.897,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,320066818adb4f73b351e3b75aa3de79774a4fba1679cd0aa0f8fded8bfea26e,
bag50k,heuristic,1,0,20029,dc1eb228019a37f4a86ec7915b4a63475986f8b969292d3c71579cc05d2c4390,50000,10414,26078,top_out,3.339,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,6dde974e9def7f8976be906569ead1908a9cf1e24db8fb551d511b93d3dd5f08,
bag50k,heuristic,1,0,20030,8b97d13a0858dba0851cf9870a923e6cbb04eaff3ed94f7aa2748fb02ed9b39e,50000,1639,4141,top_out,0.555,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,20b6794e812427abfcab1fbc4b4cab650bee7bf0736c856f55d328b517a33119,
bag50k,heuristic,1,0,20031,7e3318c85e9e78660374b6e8a1ea4851651dc073836b54c3946c3c706fb92856,50000,1324,3351,top_out,0.467,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,41e01760db7de5e1cab8294faad385e13edf34040b26d918d5f4f11210c03474,
bag50k,heuristic,1,0,20032,402ae09e4f7d4008081fad6c649a368bc8f74caabe1376e5f18adc0544c83429,50000,2182,5498,top_out,0.713,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,3924773a73ecd53875323380171501194e8eb3b8184f251a21f46b139124b5b5,
bag50k,heuristic,1,0,20033,8cf896711f470e4638dd90e75807be71bc09e92d677ea28dbe0dd8257616adb2,50000,8600,21543,top_out,2.799,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,e741a6662648158ead4f3b0d5e8c8fc2bd53101ed2955c27ae8be964faba81cd,
bag50k,heuristic,1,0,20034,d38a3c7a848c0eb718c30ae9fdab6c60929d68f37239288c8d5d588393bf3beb,50000,3040,7642,top_out,0.977,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,df6b7fc6538f89f364387b5d3c8e54a6f3d2e266b8188ec4d0399338262db935,
bag50k,heuristic,1,0,20035,c30c56e1a55c8aebdf6d8ca6ee3d4519a3b5133594dc04653c44a7fc05206932,50000,1109,2815,top_out,0.361,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,cbd232d05e72de8a5909e459761ed6c232e61b9bb753b21330884d4749fe1006,
bag50k,heuristic,1,0,20036,d647804eb824b047ee6526a73fd95ec2a3d91363cccb4dbba3da7d94b7183ccf,50000,3135,7880,top_out,0.997,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,814583b91f9d0416075ffb33c277568b7b1a6d5267a81f88ab5feecb0a2c0593,
bag50k,heuristic,1,0,20037,a5d7c74be070b62768d683f5e48b2f9528bd18dcfc60ddad9acdab8ac0d5aa0e,50000,4052,10173,top_out,1.333,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,ff6ebaa01a34a92186997584b6161d91185d39aeb0902a01fadc25b19c7e00cb,
bag50k,heuristic,1,0,20038,55d1519a209d5450bebf5113135ed0f76f735118ea840370c48c10e1eb559a56,50000,2588,6513,top_out,0.84,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,68349a1779a0baf3c090868365f667c122a866adf899e7df21fe4b0a25bf8038,
bag50k,heuristic,1,0,20039,bbbc0c68f3704e4b18d849390d3579506a18442d9fc80f6b780e775b8662ec97,50000,617,1586,top_out,0.224,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,1752070ff948ddc79f0c571b550a922ad53fff9f2137a2b5fa44bedbbb8f06c8,
bag50k,heuristic,1,0,20040,1b24e8a368e7faa75dbf66bb4bc0e62d33e7fd2337794f34b46229897f9c282b,50000,513,1326,top_out,0.173,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,a3ca23b61e7c671bbd95113dda690ba835c5f615d5d33cede44483413ed713c9,
bag50k,heuristic,1,0,20041,26de03a74aab50b57acf71f292972ed80db84754b9cb12a6e325d9cb2a2c627b,50000,6124,15353,top_out,1.966,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,e132c4cf7720f6f0b1884129a9145d38cc3796d8f661b479cc3ccee19274fe2d,
bag50k,heuristic,1,0,20042,5c7d1584160b9d0674180e88a9d9a882cbb93edff39e550182083c6f7ae72dda,50000,1610,4069,top_out,0.525,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,6ae5214973b134880755b72545e57d95a775d2d7dde00fe92c7c6e8617ee1953,
bag50k,heuristic,1,0,20043,4604e32ef141906fe92cd408dab92e4391b8fb2777aeb94620eaa06cff51bc6b,50000,4348,10913,top_out,1.426,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,6d9330c85d92bd31e437b04c9e2c58bb3888a41138e927895cfdc83b4aecaf10,
bag50k,heuristic,1,0,20044,a7ae0493b3623fa4aef58c7f4c081834e4522d0bb0593535361464b2ed5d2d1b,50000,1440,3643,top_out,0.462,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,b40ae19764e8a0ead331904a875a2ba8feb77f86bec810f6bf0da5bf6e1bb17a,
bag50k,heuristic,1,0,20045,e02f1acd61c0e8190457d0fd553d7544852551be8acb9b1726c29bd893b57e0a,50000,3532,8873,top_out,1.113,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,ed9bd25a1a297f4a917134e9759410f3e5551dd72af4fc8456980d7c28c02e2a,
bag50k,heuristic,1,0,20046,fef8aeda3a0a2772cc118aba4122e4c054a1062536f4cf50dea5b8ca59419603,50000,1927,4862,top_out,0.63,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,6aa50f79f79cd98531720e60c3b761b45984bf29ec8977b55cf8cd981f58e44c,
bag50k,heuristic,1,0,20047,79799c313b98d64d50c31548e0ff1507cf7de5d0675f010fa65096f842897d21,50000,993,2526,top_out,0.328,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,3af7c2fe47fd59a98f380db041a758abf6d85668e89549ad860d9f7e686f9468,
bag50k,heuristic,1,0,20048,6ae87328c502b876069303a123152ac074247cee57e975cb18afc7768e716493,50000,3997,10035,top_out,1.28,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,3ff13b29f92b5d6a7d76d50f289ebc52f88274c10781e135c4ad256280fb96bc,
bag50k,heuristic,1,0,20049,83924a7eab4f479a3bf70f74ef1f60facb0f054101d8e9e1552c32c96c3d529c,50000,1277,3235,top_out,0.423,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,9b1a5b5521af2b87743e407e2fd4782b96c47a5ee05ba8d124880a107aee9308,
bag50k,heuristic,1,0,20050,4ef272adafe2ac3f7e250b983e5c9e247057d3ff04b6a31f51917df34d7d4589,50000,12316,30833,top_out,4.038,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,3686b48012b88e8d66b5345c00125cda3e1c53b920c433989e18ed1ef091fcbc,
bag50k,heuristic,1,0,20051,46fce0c64f43fcfe72e10947ef8babb0e824fc286cf7c331bc2feed5e8851d01,50000,4197,10536,top_out,1.336,12e05937e613e64fc618b7b3a6f2d329cbe0cef37485fdf356cde609b39415b4,,ea02300144a03bd2605ebbdab5fd629cf41f2231f6b4a535757a3fe695f9be81,b91325d5c6a51e6c7ee4416c2667fbda90e580ae050be103ab9e688a896e7680,
