commit,spec,backend,experiment,policy,depth,precision,stream_seed,stream_sha256,cap,lines,pieces_locked,terminal_reason,source_hash,wall_seconds
95b15e2fbf2caddba1e69aa6e44e213b4f9b12e1-dirty,drop-v1.1,python-fast,pilot_precision,heuristic,1,3,2004,3f04478ca281aaa7e31f0a63f0307caa7a089540b10eca09c5b3741c8488ad3b,500,198,500,cap_reached,66a5deeeb0c72b61,0.064
95b15e2fbf2caddba1e69aa6e44e213b4f9b12e1-dirty,drop-v1.1,python-fast,pilot_precision,heuristic,1,4,2000,04ccea8730b5c4c92c2e14ee8b5ddf77d2ee28912cf3d043cf11b0c35da88696,500,35,126,top_out,66a5deeeb0c72b61,0.016
95b15e2fbf2caddba1e69aa6e44e213b4f9b12e1-dirty,drop-v1.1,python-fast,pilot_precision,heuristic,1,4,2001,29edd63092e2929c18fcb257b784fd753850df22d57dde56ff96274c4ef08aa7,500,9,62,top_out,66a5deeeb0c72b61,0.007
95b15e2fbf2caddba1e69aa6e44e213b4f9b12e1-dirty,drop-v1.1,python-fast,pilot_precision,heuristic,1,4,2002,df4ab9dde76fae7ce5e8f21490af667b282e3f86e8bf70a18c5534cffe2bd7a8,500,33,123,top_out,66a5deeeb0c72b61,0.016
95b15e2fbf2caddba1e69aa6e44e213b4f9b12e1-dirty,drop-v1.1,python-fast,pilot_precision,heuristic,1,4,2003,06019197f63774adbd50ee44353f870ffd4a24dda8f67954ddb2765899add7dc,500,3,45,top_out,66a5deeeb0c72b61,0.006
95b15e2fbf2caddba1e69aa6e44e213b4f9b12e1-dirty,drop-v1.1,python-fast,pilot_precision,heuristic,1,4,2004,3f04478ca281aaa7e31f0a63f0307caa7a089540b10eca09c5b3741c8488ad3b,500,19,86,top_out,66a5deeeb0c72b61,0.011
95b15e2fbf2caddba1e69aa6e44e213b4f9b12e1-dirty,drop-v1.1,python-fast,pilot_precision,random_legal,1,0,2000,04ccea8730b5c4c92c2e14ee8b5ddf77d2ee28912cf3d043cf11b0c35da88696,500,0,24,top_out,66a5deeeb0c72b61,0.003
95b15e2fbf2caddba1e69aa6e44e213b4f9b12e1-dirty,drop-v1.1,python-fast,pilot_precision,random_legal,1,0,2001,29edd63092e2929c18fcb257b784fd753850df22d57dde56ff96274c4ef08aa7,500,0,30,top_out,66a5deeeb0c72b61,0.004
95b15e2fbf2caddba1e69aa6e44e213b4f9b12e1-dirty,drop-v1.1,python-fast,pilot_precision,random_legal,1,0,2002,df4ab9dde76fae7ce5e8f21490af667b282e3f86e8bf70a18c5534cffe2bd7a8,500,0,23,top_out,66a5deeeb0c72b61,0.003
95b15e2fbf2caddba1e69aa6e44e213b4f9b12e1-dirty,drop-v1.1,python-fast,pilot_precision,random_legal,1,0,2003,06019197f63774adbd50ee44353f870ffd4a24dda8f67954ddb2765899add7dc,500,0,26,top_out,66a5deeeb0c72b61,0.003
