commit,toolchain_id,arch,board_repr,lanes,depth,precision,target,package,speed_grade,route_seed,target_mhz,timing_met,reported_fmax_mhz,lut4,ff,bram,dsp,ccu2c,trellis_comb,trellis_ff,log_path,status,elapsed_s
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,1,LFE5U-85F,CABGA381,6,3,50.0,True,68.06,3966,2130,0,0,324,4892,2130,build/pnr_a1-cache-d1-p1-l1_s3/nextpnr.log,routed,37.7
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,1,LFE5U-85F,CABGA381,6,4,50.0,True,66.23,3966,2130,0,0,324,4892,2130,build/pnr_a1-cache-d1-p1-l1_s4/nextpnr.log,routed,37.3
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,1,LFE5U-85F,CABGA381,6,5,50.0,True,67.14,3966,2130,0,0,324,4892,2130,build/pnr_a1-cache-d1-p1-l1_s5/nextpnr.log,routed,36.7
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,2,LFE5U-85F,CABGA381,6,1,50.0,True,68.17,3999,2220,0,0,342,4973,2220,build/pnr_a1-cache-d1-p2-l1_s1/nextpnr.log,routed,37.2
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,2,LFE5U-85F,CABGA381,6,2,50.0,True,66.98,3999,2220,0,0,342,4973,2220,build/pnr_a1-cache-d1-p2-l1_s2/nextpnr.log,routed,42.6
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,2,LFE5U-85F,CABGA381,6,3,50.0,True,68.32,3999,2220,0,0,342,4973,2220,build/pnr_a1-cache-d1-p2-l1_s3/nextpnr.log,routed,40.3
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,2,LFE5U-85F,CABGA381,6,4,50.0,True,66.48,3999,2220,0,0,342,4973,2220,build/pnr_a1-cache-d1-p2-l1_s4/nextpnr.log,routed,58.2
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,2,LFE5U-85F,CABGA381,6,5,50.0,True,66.75,3999,2220,0,0,342,4973,2220,build/pnr_a1-cache-d1-p2-l1_s5/nextpnr.log,routed,35.4
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,3,LFE5U-85F,CABGA381,6,1,50.0,True,66.78,4004,2216,0,0,363,5052,2216,build/pnr_a1-cache-d1-p3-l1_s1/nextpnr.log,routed,41.4
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,3,LFE5U-85F,CABGA381,6,2,50.0,True,68.04,4004,2216,0,0,363,5052,2216,build/pnr_a1-cache-d1-p3-l1_s2/nextpnr.log,routed,36.0
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,3,LFE5U-85F,CABGA381,6,3,50.0,True,68.24,4004,2216,0,0,363,5052,2216,build/pnr_a1-cache-d1-p3-l1_s3/nextpnr.log,routed,43.9
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,3,LFE5U-85F,CABGA381,6,4,50.0,True,67.24,4004,2216,0,0,363,5052,2216,build/pnr_a1-cache-d1-p3-l1_s4/nextpnr.log,routed,50.1
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,3,LFE5U-85F,CABGA381,6,5,50.0,True,66.82,4004,2216,0,0,363,5052,2216,build/pnr_a1-cache-d1-p3-l1_s5/nextpnr.log,routed,41.2
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,4,LFE5U-85F,CABGA381,6,1,50.0,True,65.79,3942,2167,0,0,271,4690,2167,build/pnr_a1-cache-d1-p4-l1_s1/nextpnr.log,routed,38.5
ebde781a11596519c7a452de26bae83348e3cb54-dirty,oss-cad-suite-2026-09-04-8fb2384c2f88,1,1,1,1,4,LFE5U-85F,CABGA381,6,2,50.0,True,66.55,3942,2167,0,0,271,4690,2167,build/pnr_a1-cache-d1-p4-l1_s2/nextpnr.log,routed,38.3
